file,lines,line_span,domain,action,rationale
"src/app/api/jobs/cleanup-scheduling-reasons/route.ts","36","1-36","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/jobs/memory-decay/route.ts","52","1-52","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/jobs/memory-lifecycle/route.ts","33","1-33","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/jobs/process-embeddings/route.ts","55","1-55","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/jobs/process-search-index/route.ts","141","1-141","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/jobs/record-memory/route.ts","775","1-775","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/jobs/scheduled-draft-sends/route.ts","197","1-197","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/memory/export/route.ts","88","1-88","entrypoints","MODIFY_V2_WIRING","Route requests to Secretary Runtime v2"
"src/app/api/memory/forget/route.ts","143","1-143","entrypoints","MODIFY_V2_WIRING","Route requests to Secretary Runtime v2"
"src/app/api/memory/recall/route.ts","40","1-40","entrypoints","MODIFY_V2_WIRING","Route requests to Secretary Runtime v2"
"src/app/api/notifications/[id]/read/route.test.ts","71","1-71","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/notifications/[id]/read/route.ts","66","1-66","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/notifications/fallback/route.test.ts","97","1-97","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/notifications/fallback/route.ts","102","1-102","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/notifications/read-all/route.test.ts","44","1-44","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/notifications/read-all/route.ts","50","1-50","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/notifications/route.test.ts","44","1-44","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/notifications/route.ts","31","1-31","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/notifications/unread-count/route.test.ts","39","1-39","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/notifications/unread-count/route.ts","41","1-41","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/privacy/clear/route.ts","19","1-19","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/privacy/route.ts","35","1-35","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/rule-plane/[id]/route.ts","112","1-112","entrypoints","MODIFY_V2_WIRING","Route requests to Secretary Runtime v2"
"src/app/api/rule-plane/compile/route.ts","54","1-54","entrypoints","MODIFY_V2_WIRING","Route requests to Secretary Runtime v2"
"src/app/api/rule-plane/route.ts","127","1-127","entrypoints","MODIFY_V2_WIRING","Route requests to Secretary Runtime v2"
"src/app/api/schedule-proposal/[id]/resolve/route.ts","50","1-50","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/scheduled-actions/execute/route.test.ts","93","1-93","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/scheduled-actions/execute/route.ts","80","1-80","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/search/unified/route.ts","221","1-221","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/slack/callback/route.ts","171","1-171","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/slack/disconnect/route.ts","28","1-28","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/slack/install-url/route.ts","54","1-54","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/surfaces/actions/route.test.ts","159","1-159","entrypoints","MODIFY_V2_WIRING","Route requests to Secretary Runtime v2"
"src/app/api/surfaces/actions/route.ts","207","1-207","entrypoints","MODIFY_V2_WIRING","Route requests to Secretary Runtime v2"
"src/app/api/surfaces/identity/route.test.ts","112","1-112","entrypoints","MODIFY_V2_WIRING","Route requests to Secretary Runtime v2"
"src/app/api/surfaces/identity/route.ts","64","1-64","entrypoints","MODIFY_V2_WIRING","Route requests to Secretary Runtime v2"
"src/app/api/surfaces/inbound/ack/route.test.ts","70","1-70","entrypoints","MODIFY_V2_WIRING","Route requests to Secretary Runtime v2"
"src/app/api/surfaces/inbound/ack/route.ts","78","1-78","entrypoints","MODIFY_V2_WIRING","Route requests to Secretary Runtime v2"
"src/app/api/surfaces/inbound/route.test.ts","152","1-152","entrypoints","MODIFY_V2_WIRING","Route requests to Secretary Runtime v2"
"src/app/api/surfaces/inbound/route.ts","259","1-259","entrypoints","MODIFY_V2_WIRING","Route requests to Secretary Runtime v2"
"src/app/api/surfaces/link-token/route.ts","69","1-69","entrypoints","MODIFY_V2_WIRING","Route requests to Secretary Runtime v2"
"src/app/api/surfaces/link/route.ts","54","1-54","entrypoints","MODIFY_V2_WIRING","Route requests to Secretary Runtime v2"
"src/app/api/surfaces/session/resolve/route.test.ts","82","1-82","entrypoints","MODIFY_V2_WIRING","Route requests to Secretary Runtime v2"
"src/app/api/surfaces/session/resolve/route.ts","125","1-125","entrypoints","MODIFY_V2_WIRING","Route requests to Secretary Runtime v2"
"src/app/api/tasks/triage/action/route.ts","79","1-79","entrypoints","MODIFY_V2_WIRING","Route requests to Secretary Runtime v2"
"src/app/api/tasks/triage/audit/route.ts","24","1-24","entrypoints","MODIFY_V2_WIRING","Route requests to Secretary Runtime v2"
"src/app/api/tasks/triage/route.ts","39","1-39","entrypoints","MODIFY_V2_WIRING","Route requests to Secretary Runtime v2"
"src/app/callback/route.ts","24","1-24","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/connect/page.tsx","29","1-29","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/favicon.ico","31","1-31","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/globals.css","156","1-156","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/layout.tsx","27","1-27","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/link/LinkPageClient.test.ts","18","1-18","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/link/LinkPageClient.tsx","90","1-90","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/link/page.tsx","23","1-23","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/login/route.ts","23","1-23","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/logout/route.ts","10","1-10","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/page.tsx","16","1-16","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/components/client-notification-provider.tsx","9","1-9","frontend","KEEP_UNCHANGED","Client-side or visual assets"
"src/components/experience/Scene.tsx","85","1-85","frontend","KEEP_UNCHANGED","Client-side or visual assets"
"src/components/experience/orbReference/ExternalSparkles.tsx","219","1-219","frontend","KEEP_UNCHANGED","Client-side or visual assets"
"src/components/experience/orbReference/FboParticles.tsx","196","1-196","frontend","KEEP_UNCHANGED","Client-side or visual assets"
"src/components/experience/orbReference/SimulationMaterial.ts","82","1-82","frontend","KEEP_UNCHANGED","Client-side or visual assets"
"src/components/experience/orbReference/Sphere.tsx","171","1-171","frontend","KEEP_UNCHANGED","Client-side or visual assets"
"src/components/experience/orbReference/shaders.ts","471","1-471","frontend","KEEP_UNCHANGED","Client-side or visual assets"
"src/components/experience/orbReference/useMouse.ts","27","1-27","frontend","KEEP_UNCHANGED","Client-side or visual assets"
"src/components/landing/AuthConnectionPanel.tsx","571","1-571","frontend","KEEP_UNCHANGED","Client-side or visual assets"
"src/enterprise/stripe/index.ts","82","1-82","frontend","KEEP_UNCHANGED","Client-side or visual assets"
"src/enterprise/stripe/sync-stripe.ts","202","1-202","frontend","KEEP_UNCHANGED","Client-side or visual assets"
"src/env.ts","319","1-319","config","MODIFY_V2_WIRING","Add secretary runtime flags and mode controls"
"src/lib/capabilities.ts","181","1-181","frontend","KEEP_UNCHANGED","Client-side or visual assets"
"src/lib/stores/qualityStore.ts","107","1-107","frontend","KEEP_UNCHANGED","Client-side or visual assets"
"src/lib/stores/shapeStore.ts","201","1-201","frontend","KEEP_UNCHANGED","Client-side or visual assets"
"src/proxy.ts","45","1-45","infra","KEEP_UNCHANGED","Edge proxy unrelated to runtime replacement"
"src/server/README.md","64","1-64","meta","KEEP_UNCHANGED","Documentation/reference"
"src/server/auth/README.md","19","1-19","meta","KEEP_UNCHANGED","Documentation/reference"
"src/server/auth/cleanup-invalid-tokens.test.ts","159","1-159","server_foundation","KEEP_WITH_INTERFACE_CHANGES","Auth/DB layers mostly stable; adapt runtime session storage interfaces"
"src/server/auth/cleanup-invalid-tokens.ts","147","1-147","server_foundation","KEEP_WITH_INTERFACE_CHANGES","Auth/DB layers mostly stable; adapt runtime session storage interfaces"
"src/server/auth/index.ts","14","1-14","server_foundation","KEEP_WITH_INTERFACE_CHANGES","Auth/DB layers mostly stable; adapt runtime session storage interfaces"
"src/server/auth/oauth-refresh-failure-policy.test.ts","80","1-80","server_foundation","KEEP_WITH_INTERFACE_CHANGES","Auth/DB layers mostly stable; adapt runtime session storage interfaces"
"src/server/auth/oauth-refresh-failure-policy.ts","112","1-112","server_foundation","KEEP_WITH_INTERFACE_CHANGES","Auth/DB layers mostly stable; adapt runtime session storage interfaces"
"src/server/auth/session.test.ts","124","1-124","server_foundation","KEEP_WITH_INTERFACE_CHANGES","Auth/DB layers mostly stable; adapt runtime session storage interfaces"
"src/server/auth/session.ts","254","1-254","server_foundation","KEEP_WITH_INTERFACE_CHANGES","Auth/DB layers mostly stable; adapt runtime session storage interfaces"
"src/server/db/__mocks__/client.ts","4","1-4","server_foundation","KEEP_WITH_INTERFACE_CHANGES","Auth/DB layers mostly stable; adapt runtime session storage interfaces"
"src/server/db/client-extensions.ts","202","1-202","server_foundation","KEEP_WITH_INTERFACE_CHANGES","Auth/DB layers mostly stable; adapt runtime session storage interfaces"
"src/server/db/client-helpers.ts","27","1-27","server_foundation","KEEP_WITH_INTERFACE_CHANGES","Auth/DB layers mostly stable; adapt runtime session storage interfaces"
"src/server/db/client-retry.ts","48","1-48","server_foundation","KEEP_WITH_INTERFACE_CHANGES","Auth/DB layers mostly stable; adapt runtime session storage interfaces"
"src/server/db/client.ts","22","1-22","server_foundation","KEEP_WITH_INTERFACE_CHANGES","Auth/DB layers mostly stable; adapt runtime session storage interfaces"
"src/server/db/encryption.ts","86","1-86","server_foundation","KEEP_WITH_INTERFACE_CHANGES","Auth/DB layers mostly stable; adapt runtime session storage interfaces"
"src/server/db/extensions.ts","202","1-202","server_foundation","KEEP_WITH_INTERFACE_CHANGES","Auth/DB layers mostly stable; adapt runtime session storage interfaces"
"src/server/features/ai/README.md","88","1-88","meta","KEEP_UNCHANGED","Documentation/reference"
"src/server/features/ai/actions.ts","1252","1-1252","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/actions/register-defaults.ts","32","1-32","ai_tools_skills","MODIFY_V2_TOOLING","Adopt Agent-SDK-style tools/skills lifecycle"
"src/server/features/ai/actions/registry.ts","60","1-60","ai_tools_skills","MODIFY_V2_TOOLING","Adopt Agent-SDK-style tools/skills lifecycle"
"src/server/features/ai/authoritative-history.ts","28","1-28","ai_runtime","MODIFY_V2_CORE","Align docs/helpers with v2 contracts"
"src/server/features/ai/contracts/provider-safe-value.ts","62","1-62","ai_tools_skills","MODIFY_V2_TOOLING","Adopt Agent-SDK-style tools/skills lifecycle"
"src/server/features/ai/conversational-copy.ts","79","1-79","ai_runtime","MODIFY_V2_CORE","Align docs/helpers with v2 contracts"
"src/server/features/ai/cross-reference.ts","101","1-101","ai_runtime","MODIFY_V2_CORE","Align docs/helpers with v2 contracts"
"src/server/features/ai/evals/taxonomy.ts","502","1-502","ai_eval","MODIFY_V2_WIRING","Rebaseline evals to secretary reliability KPIs"
"src/server/features/ai/helpers.test.ts","333","1-333","ai_runtime","MODIFY_V2_CORE","Align docs/helpers with v2 contracts"
"src/server/features/ai/helpers.ts","82","1-82","ai_runtime","MODIFY_V2_CORE","Align docs/helpers with v2 contracts"
"src/server/features/ai/message-processor.test.ts","46","1-46","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/message-processor.ts","1042","1-1042","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/policy/enforcement.ts","199","1-199","policy_approval","KEEP_AUTHORITY_WITH_ADAPTERS","Preserve existing hard safety and approvals"
"src/server/features/ai/policy/tool-targeting.test.ts","80","1-80","policy_approval","KEEP_AUTHORITY_WITH_ADAPTERS","Preserve existing hard safety and approvals"
"src/server/features/ai/policy/tool-targeting.ts","90","1-90","policy_approval","KEEP_AUTHORITY_WITH_ADAPTERS","Preserve existing hard safety and approvals"
"src/server/features/ai/proactive/orchestrator.test.ts","105","1-105","ai_proactive","PRUNE_OR_DEFER_NON_SECRETARY","Defer proactive subsystem until core secretary reliability is stable"
"src/server/features/ai/proactive/orchestrator.ts","185","1-185","ai_proactive","PRUNE_OR_DEFER_NON_SECRETARY","Defer proactive subsystem until core secretary reliability is stable"
"src/server/features/ai/proactive/scanner.ts","161","1-161","ai_proactive","PRUNE_OR_DEFER_NON_SECRETARY","Defer proactive subsystem until core secretary reliability is stable"
"src/server/features/ai/proactive/types.ts","22","1-22","ai_proactive","PRUNE_OR_DEFER_NON_SECRETARY","Defer proactive subsystem until core secretary reliability is stable"
"src/server/features/ai/response-guards.ts","10","1-10","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/attempt-loop.history.test.ts","83","1-83","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/attempt-loop.ts","723","1-723","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/compiler-context.ts","69","1-69","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/concurrency.ts","43","1-43","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/context/hydrator.test.ts","198","1-198","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/context/hydrator.ts","177","1-177","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/context/memory-flush.ts","61","1-61","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/context/precheck.ts","23","1-23","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/context/pruning.test.ts","53","1-53","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/context/pruning.ts","227","1-227","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/context/render.ts","107","1-107","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/context/requirements.ts","28","1-28","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/context/retrieval-broker.ts","187","1-187","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/context/slot-budget.test.ts","14","1-14","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/context/slot-budget.ts","37","1-37","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/deadline-context.ts","44","1-44","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/deterministic-cross-surface.test.ts","239","1-239","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/deterministic-cross-surface.ts","381","1-381","ai_runtime","PRUNE_FROM_SECRETARY_MODE","Out-of-scope in secretary-only operational surface"
"src/server/features/ai/runtime/finalize.ts","40","1-40","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/harness/session-runner.ts","52","1-52","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/harness/tool-events.test.ts","99","1-99","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/harness/tool-events.ts","69","1-69","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/index.ts","102","1-102","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/response-contract.ts","13","1-13","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/response-writer.ts","154","1-154","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/result-summarizer.test.ts","33","1-33","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/result-summarizer.ts","40","1-40","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/router.test.ts","142","1-142","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/router.ts","122","1-122","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/session.test.ts","56","1-56","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/session.ts","272","1-272","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/telemetry/schema.test.ts","54","1-54","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/telemetry/schema.ts","146","1-146","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/telemetry/unsupported-intents.ts","31","1-31","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/tool-runtime.test.ts","101","1-101","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/tool-runtime.ts","58","1-58","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/turn-compiler.test.ts","139","1-139","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/turn-compiler.ts","853","1-853","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/turn-contract.ts","220","1-220","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/runtime/types.ts","60","1-60","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/security.ts","28","1-28","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/skills/bundled.ts","9","1-9","ai_tools_skills","MODIFY_V2_TOOLING","Adopt Agent-SDK-style tools/skills lifecycle"
"src/server/features/ai/skills/catalog/inbox-calendar-agent/SKILL.md","18","1-18","ai_tools_skills","MODIFY_V2_TOOLING","Adopt Agent-SDK-style tools/skills lifecycle"
"src/server/features/ai/skills/catalog/open-world-planning/SKILL.md","15","1-15","ai_tools_skills","MODIFY_V2_TOOLING","Adopt Agent-SDK-style tools/skills lifecycle"
"src/server/features/ai/skills/catalog/rule-plane-agent/SKILL.md","14","1-14","ai_tools_skills","MODIFY_V2_TOOLING","Adopt Agent-SDK-style tools/skills lifecycle"
"src/server/features/ai/skills/composition.ts","39","1-39","ai_tools_skills","MODIFY_V2_TOOLING","Adopt Agent-SDK-style tools/skills lifecycle"
"src/server/features/ai/skills/loader.ts","15","1-15","ai_tools_skills","MODIFY_V2_TOOLING","Adopt Agent-SDK-style tools/skills lifecycle"
"src/server/features/ai/skills/managed.ts","9","1-9","ai_tools_skills","MODIFY_V2_TOOLING","Adopt Agent-SDK-style tools/skills lifecycle"
"src/server/features/ai/skills/prompt.ts","18","1-18","ai_tools_skills","MODIFY_V2_TOOLING","Adopt Agent-SDK-style tools/skills lifecycle"
"src/server/features/ai/skills/snapshot.ts","44","1-44","ai_tools_skills","MODIFY_V2_TOOLING","Adopt Agent-SDK-style tools/skills lifecycle"
"src/server/features/ai/skills/source-loader.ts","81","1-81","ai_tools_skills","MODIFY_V2_TOOLING","Adopt Agent-SDK-style tools/skills lifecycle"
"src/server/features/ai/skills/types.ts","13","1-13","ai_tools_skills","MODIFY_V2_TOOLING","Adopt Agent-SDK-style tools/skills lifecycle"
"src/server/features/ai/skills/workspace.ts","9","1-9","ai_tools_skills","MODIFY_V2_TOOLING","Adopt Agent-SDK-style tools/skills lifecycle"
"src/server/features/ai/step-budget.test.ts","70","1-70","other","KEEP_UNCHANGED","Outside runtime migration scope"
"src/server/features/ai/step-budget.ts","74","1-74","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/system-prompt.test.ts","29","1-29","other","KEEP_UNCHANGED","Outside runtime migration scope"
"src/server/features/ai/system-prompt.ts","69","1-69","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/thread-context.ts","142","1-142","ai_runtime","MODIFY_V2_CORE","Primary runtime migration zone"
"src/server/features/ai/tools/calendar-time.test.ts","81","1-81","ai_tools_skills","MODIFY_V2_TOOLING","Adopt Agent-SDK-style tools/skills lifecycle"
