file,lines,line_span,classification,reason
"src/server/features/reply-tracker/README.md","12","1-12","PRUNE_MVP","Reply-tracker vertical is outside email/calendar secretary core launch."
"src/server/features/reply-tracker/ai/check-if-needs-reply.ts","92","1-92","PRUNE_MVP","Reply-tracker vertical is outside email/calendar secretary core launch."
"src/server/features/reply-tracker/ai/determine-thread-status.test.ts","96","1-96","PRUNE_MVP","Reply-tracker vertical is outside email/calendar secretary core launch."
"src/server/features/reply-tracker/ai/determine-thread-status.ts","213","1-213","PRUNE_MVP","Reply-tracker vertical is outside email/calendar secretary core launch."
"src/server/features/reply-tracker/ai/draft-follow-up.ts","145","1-145","PRUNE_MVP","Reply-tracker vertical is outside email/calendar secretary core launch."
"src/server/features/reply-tracker/ai/draft-reply.ts","272","1-272","PRUNE_MVP","Reply-tracker vertical is outside email/calendar secretary core launch."
"src/server/features/reply-tracker/ai/generate-nudge.ts","56","1-56","PRUNE_MVP","Reply-tracker vertical is outside email/calendar secretary core launch."
"src/server/features/reply-tracker/ai/reply-context-collector.ts","160","1-160","PRUNE_MVP","Reply-tracker vertical is outside email/calendar secretary core launch."
"src/server/features/reply-tracker/check-sender-reply-history.ts","59","1-59","PRUNE_MVP","Reply-tracker vertical is outside email/calendar secretary core launch."
"src/server/features/reply-tracker/conversation-status-config.ts","23","1-23","PRUNE_MVP","Reply-tracker vertical is outside email/calendar secretary core launch."
"src/server/features/reply-tracker/draft-tracking.ts","288","1-288","PRUNE_MVP","Reply-tracker vertical is outside email/calendar secretary core launch."
"src/server/features/reply-tracker/generate-draft.test.ts","232","1-232","PRUNE_MVP","Reply-tracker vertical is outside email/calendar secretary core launch."
"src/server/features/reply-tracker/generate-draft.ts","319","1-319","PRUNE_MVP","Reply-tracker vertical is outside email/calendar secretary core launch."
"src/server/features/reply-tracker/handle-conversation-status.ts","170","1-170","PRUNE_MVP","Reply-tracker vertical is outside email/calendar secretary core launch."
"src/server/features/reply-tracker/handle-outbound.ts","83","1-83","PRUNE_MVP","Reply-tracker vertical is outside email/calendar secretary core launch."
"src/server/features/reply-tracker/label-helpers.test.ts","346","1-346","PRUNE_MVP","Reply-tracker vertical is outside email/calendar secretary core launch."
"src/server/features/reply-tracker/label-helpers.ts","241","1-241","PRUNE_MVP","Reply-tracker vertical is outside email/calendar secretary core launch."
"src/server/features/reply-tracker/outbound.test.ts","82","1-82","PRUNE_MVP","Reply-tracker vertical is outside email/calendar secretary core launch."
"src/server/features/reply-tracker/outbound.ts","130","1-130","PRUNE_MVP","Reply-tracker vertical is outside email/calendar secretary core launch."
"src/server/features/search/README.md","13","1-13","PRUNE_MVP","Internal unified search/index plane is not required in provider-first MVP."
"src/server/features/search/index/backfill.ts","133","1-133","PRUNE_MVP","Internal unified search/index plane is not required in provider-first MVP."
"src/server/features/search/index/chunking.ts","37","1-37","PRUNE_MVP","Internal unified search/index plane is not required in provider-first MVP."
"src/server/features/search/index/index.ts","5","1-5","PRUNE_MVP","Internal unified search/index plane is not required in provider-first MVP."
"src/server/features/search/index/ingestors/calendar.ts","107","1-107","PRUNE_MVP","Internal unified search/index plane is not required in provider-first MVP."
"src/server/features/search/index/ingestors/email.ts","129","1-129","PRUNE_MVP","Internal unified search/index plane is not required in provider-first MVP."
"src/server/features/search/index/ingestors/memory.ts","163","1-163","PRUNE_MVP","Internal unified search/index plane is not required in provider-first MVP."
"src/server/features/search/index/ingestors/rule.ts","110","1-110","PRUNE_MVP","Internal unified search/index plane is not required in provider-first MVP."
"src/server/features/search/index/queue.ts","171","1-171","PRUNE_MVP","Internal unified search/index plane is not required in provider-first MVP."
"src/server/features/search/index/repository.ts","751","1-751","PRUNE_MVP","Internal unified search/index plane is not required in provider-first MVP."
"src/server/features/search/index/types.ts","52","1-52","PRUNE_MVP","Internal unified search/index plane is not required in provider-first MVP."
"src/server/features/search/unified/calibration.test.ts","97","1-97","PRUNE_MVP","Internal unified search/index plane is not required in provider-first MVP."
"src/server/features/search/unified/calibration.ts","192","1-192","PRUNE_MVP","Internal unified search/index plane is not required in provider-first MVP."
"src/server/features/search/unified/query.test.ts","171","1-171","PRUNE_MVP","Internal unified search/index plane is not required in provider-first MVP."
"src/server/features/search/unified/query.ts","358","1-358","PRUNE_MVP","Internal unified search/index plane is not required in provider-first MVP."
"src/server/features/search/unified/ranking.test.ts","72","1-72","PRUNE_MVP","Internal unified search/index plane is not required in provider-first MVP."
"src/server/features/search/unified/ranking.ts","368","1-368","PRUNE_MVP","Internal unified search/index plane is not required in provider-first MVP."
"src/server/features/search/unified/service.test.ts","234","1-234","PRUNE_MVP","Internal unified search/index plane is not required in provider-first MVP."
"src/server/features/search/unified/service.ts","1034","1-1034","PRUNE_MVP","Internal unified search/index plane is not required in provider-first MVP."
"src/server/features/search/unified/types.ts","133","1-133","PRUNE_MVP","Internal unified search/index plane is not required in provider-first MVP."
"src/server/features/search/unified/weights.test.ts","70","1-70","PRUNE_MVP","Internal unified search/index plane is not required in provider-first MVP."
"src/server/features/search/unified/weights.ts","170","1-170","PRUNE_MVP","Internal unified search/index plane is not required in provider-first MVP."
"src/server/features/tasks/triage/TaskTriageService.test.ts","181","1-181","PRUNE_MVP","Task triage workflow is outside inbox/calendar MVP scope."
"src/server/features/tasks/triage/TaskTriageService.ts","135","1-135","PRUNE_MVP","Task triage workflow is outside inbox/calendar MVP scope."
"src/server/features/tasks/triage/audit.test.ts","69","1-69","PRUNE_MVP","Task triage workflow is outside inbox/calendar MVP scope."
"src/server/features/tasks/triage/audit.ts","99","1-99","PRUNE_MVP","Task triage workflow is outside inbox/calendar MVP scope."
"src/server/features/tasks/triage/context.test.ts","140","1-140","PRUNE_MVP","Task triage workflow is outside inbox/calendar MVP scope."
"src/server/features/tasks/triage/context.ts","167","1-167","PRUNE_MVP","Task triage workflow is outside inbox/calendar MVP scope."
"src/server/integrations/microsoft/README.md","23","1-23","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/attachment.ts","16","1-16","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/batch.ts","278","1-278","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/calendar-client.ts","198","1-198","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/calendar-sync.ts","113","1-113","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/calendar.ts","556","1-556","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/client.ts","291","1-291","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/constants.ts","2","1-2","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/contact.ts","59","1-59","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/draft.ts","129","1-129","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/errors.test.ts","76","1-76","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/errors.ts","39","1-39","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/filter.ts","353","1-353","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/folders.test.ts","478","1-478","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/folders.ts","210","1-210","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/label.ts","588","1-588","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/mail.ts","405","1-405","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/message.test.ts","346","1-346","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/message.ts","751","1-751","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/odata-escape.test.ts","59","1-59","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/odata-escape.ts","21","1-21","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/reply.test.ts","147","1-147","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/reply.ts","76","1-76","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/retry.test.ts","222","1-222","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/retry.ts","211","1-211","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/scopes.ts","27","1-27","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/spam.ts","112","1-112","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/subscription-history.test.ts","268","1-268","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/subscription-history.ts","127","1-127","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/subscription-manager.test.ts","305","1-305","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/subscription-manager.ts","307","1-307","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/thread.ts","224","1-224","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/trash.ts","120","1-120","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/integrations/microsoft/watch.ts","46","1-46","PRUNE_MVP","Non-Google provider integration (Microsoft/Outlook)."
"src/server/workers/surfaces/connectors/discord/index.test.ts","27","1-27","PRUNE_MVP","Discord connector is outside MVP scope."
"src/server/workers/surfaces/connectors/discord/index.ts","449","1-449","PRUNE_MVP","Discord connector is outside MVP scope."
"src/server/workers/surfaces/connectors/telegram/index.test.ts","25","1-25","PRUNE_MVP","Telegram connector is outside MVP scope."
"src/server/workers/surfaces/connectors/telegram/index.ts","432","1-432","PRUNE_MVP","Telegram connector is outside MVP scope."
